_id,DATE,HOUR,geometry,ROAD_CLASS,District,WardNum,ACCLOC,LIGHT,RDSFCOND,IMPACTYPE,INVAGE,INJURY,FATAL_NO,DRIVACT,DRIVCOND,PEDCOND,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL
15430,2019-04-17T04:00:00,8,"-79.294933, 43.781795",Major Arterial,Scarborough,22,Non Intersection,Daylight,Dry,Pedestrian Collisions,Over 95,Major,,,,Normal,,,,
15057,2019-06-25T04:00:00,8,"-79.308613, 43.753146",Minor Arterial,Scarborough,21,Intersection Related,Daylight,Dry,Turning Movement,30 to 34,None,,Improper Turn,Normal,,,,,
15058,2019-06-25T04:00:00,8,"-79.308613, 43.753146",Minor Arterial,Scarborough,21,Intersection Related,Daylight,Dry,Turning Movement,30 to 34,Major,,Driving Properly,Normal,,,,,
15816,2019-08-22T04:00:00,8,"-79.532009, 43.664279",Major Arterial,Etobicoke York,2,Intersection Related,Daylight,Dry,Angle,40 to 44,None,,Failed to Yield Right of Way,Normal,,,Yes,,
15817,2019-08-22T04:00:00,8,"-79.532009, 43.664279",Major Arterial,Etobicoke York,2,Intersection Related,Daylight,Dry,Angle,65 to 69,Major,,Driving Properly,Normal,,,Yes,,
15928,2019-09-04T04:00:00,8,"-79.307125, 43.735442",Major Arterial,North York,,Non Intersection,Daylight,Dry,Cyclist Collisions,55 to 59,Minimal,,Failed to Yield Right of Way,Normal,,,Yes,,
15929,2019-09-04T04:00:00,8,"-79.307125, 43.735442",Major Arterial,North York,,Non Intersection,Daylight,Dry,Cyclist Collisions,10 to 14,Major,,,,,,Yes,,
16087,2019-12-25T05:00:00,8,"-79.347011, 43.775104",Major Arterial,North York,17,At Intersection,Daylight,Wet,Pedestrian Collisions,45 to 49,None,,Failed to Yield Right of Way,Inattentive,,,Yes,,
16088,2019-12-25T05:00:00,8,"-79.347011, 43.775104",Major Arterial,North York,17,At Intersection,Daylight,Wet,Pedestrian Collisions,35 to 39,Major,,,,Normal,,Yes,,
15194,2019-02-16T05:00:00,9,"-79.324634, 43.815394",Major Arterial,Scarborough,22,Non Intersection,Daylight,Wet,Pedestrian Collisions,85 to 89,Fatal,12,,,Normal,,,,
15195,2019-02-16T05:00:00,9,"-79.324634, 43.815394",Major Arterial,Scarborough,22,Non Intersection,Daylight,Wet,Pedestrian Collisions,50 to 54,None,,Driving Properly,Normal,,,,,
15029,2019-03-07T05:00:00,9,"-79.460269, 43.693389",Major Arterial,North York,,Non Intersection,Daylight,Other,Pedestrian Collisions,75 to 79,Fatal,13,,,,,,,
15124,2019-03-07T05:00:00,9,"-79.460269, 43.693389",Major Arterial,North York,,Non Intersection,Daylight,Other,Pedestrian Collisions,55 to 59,None,,Driving Properly,Normal,,,,,
15352,2019-03-13T04:00:00,9,"-79.514049, 43.653518",Minor Arterial,Etobicoke York,3,Non Intersection,Daylight,Dry,Sideswipe,35 to 39,Minor,,Improper Passing,Unknown,,,Yes,,
15354,2019-03-13T04:00:00,9,"-79.514049, 43.653518",Minor Arterial,Etobicoke York,3,Non Intersection,Daylight,Dry,Sideswipe,15 to 19,None,,Driving Properly,Normal,,,Yes,,
15355,2019-03-13T04:00:00,9,"-79.514049, 43.653518",Minor Arterial,Etobicoke York,3,Non Intersection,Daylight,Dry,Sideswipe,70 to 74,Major,,Driving Properly,Normal,,,Yes,,
15366,2019-03-18T04:00:00,9,"-79.340153, 43.67987",Major Arterial,Toronto and East York,14,At Intersection,Daylight,Dry,Pedestrian Collisions,30 to 34,None,,Failed to Yield Right of Way,Inattentive,,,Yes,,
15367,2019-03-18T04:00:00,9,"-79.340153, 43.67987",Major Arterial,Toronto and East York,14,At Intersection,Daylight,Dry,Pedestrian Collisions,50 to 54,Major,,,,Normal,,Yes,,
15388,2019-03-26T04:00:00,9,"-79.388569, 43.65546",Major Arterial,Toronto and East York,11,At Intersection,Daylight,Dry,Angle,30 to 34,None,,Failed to Yield Right of Way,Normal,,,Yes,,
15389,2019-03-26T04:00:00,9,"-79.388569, 43.65546",Major Arterial,Toronto and East York,11,At Intersection,Daylight,Dry,Angle,60 to 64,Major,,Driving Properly,Normal,,,Yes,,
15402,2019-04-06T04:00:00,9,"-79.252879, 43.810782",Major Arterial,Scarborough,23,At Intersection,Daylight,Dry,Pedestrian Collisions,85 to 89,Fatal,16,,,Normal,,Yes,,
15404,2019-04-06T04:00:00,9,"-79.252879, 43.810782",Major Arterial,Scarborough,23,At Intersection,Daylight,Dry,Pedestrian Collisions,50 to 54,None,,Failed to Yield Right of Way,Normal,,,Yes,,
15282,2019-05-20T04:00:00,9,"-79.380169, 43.63996",Minor Arterial,Toronto and East York,10,Intersection Related,Daylight,Dry,Pedestrian Collisions,45 to 49,Minimal,,Driving Properly,Normal,,,,,
15283,2019-05-20T04:00:00,9,"-79.380169, 43.63996",Minor Arterial,Toronto and East York,10,Intersection Related,Daylight,Dry,Pedestrian Collisions,30 to 34,Major,,,,Inattentive,,,,
15071,2019-06-26T04:00:00,9,"-79.378055, 43.65261",Major Arterial,Toronto and East York,13,At Intersection,Daylight,Dry,Pedestrian Collisions,40 to 44,None,,Driving Properly,Unknown,,,,,
15072,2019-06-26T04:00:00,9,"-79.378055, 43.65261",Major Arterial,Toronto and East York,13,At Intersection,Daylight,Dry,Pedestrian Collisions,55 to 59,Fatal,25,,,Unknown,,,,
15091,2019-07-03T04:00:00,9,"-79.477977, 43.70856",Major Arterial,Etobicoke York,5,Non Intersection,Daylight,Dry,Pedestrian Collisions,45 to 49,Minimal,,Driving Properly,Normal,,,,,
15092,2019-07-03T04:00:00,9,"-79.477977, 43.70856",Major Arterial,Etobicoke York,5,Non Intersection,Daylight,Dry,Pedestrian Collisions,50 to 54,Major,,,,Inattentive,,,,
15756,2019-08-03T04:00:00,9,"-79.301395, 43.763796",Major Arterial,Scarborough,21,At Intersection,Daylight,Dry,SMV Other,55 to 59,Fatal,31,Lost control,Unknown,,,,,
15779,2019-08-09T04:00:00,9,"-79.413204, 43.780181",Major Arterial,North York,18,Non Intersection,Daylight,Dry,Pedestrian Collisions,65 to 69,Fatal,33,,,Normal,,,,
15780,2019-08-09T04:00:00,9,"-79.413204, 43.780181",Major Arterial,North York,18,Non Intersection,Daylight,Dry,Pedestrian Collisions,35 to 39,None,,Lost control,Unknown,,,,,
15956,2019-09-10T04:00:00,9,"-79.399272, 43.711005",Major Arterial,North York,,At Intersection,Daylight,Dry,Pedestrian Collisions,50 to 54,Fatal,41,,,Normal,,,,
15957,2019-09-10T04:00:00,9,"-79.399272, 43.711005",Major Arterial,North York,,At Intersection,Daylight,Dry,Pedestrian Collisions,55 to 59,None,,Improper Turn,Unknown,,,,,
15995,2019-10-04T04:00:00,9,"-79.413853, 43.703471",Major Arterial,North York,,At Intersection,Daylight,Dry,Pedestrian Collisions,45 to 49,None,,Failed to Yield Right of Way,Normal,,,Yes,,
15996,2019-10-04T04:00:00,9,"-79.413853, 43.703471",Major Arterial,North York,,At Intersection,Daylight,Dry,Pedestrian Collisions,40 to 44,Major,,,,Normal,,Yes,,
16001,2019-10-10T04:00:00,9,"-79.382732, 43.639507",Minor Arterial,Toronto and East York,10,Non Intersection,Daylight,Dry,Turning Movement,50 to 54,Major,,Improper Passing,Inattentive,,,Yes,,
16002,2019-10-10T04:00:00,9,"-79.382732, 43.639507",Minor Arterial,Toronto and East York,10,Non Intersection,Daylight,Dry,Turning Movement,40 to 44,None,,Driving Properly,Normal,,,Yes,,
15519,2019-11-13T05:00:00,9,"-79.457622, 43.71337",Major Arterial,North York,8,Non Intersection,Daylight,Dry,Angle,65 to 69,Fatal,55,Failed to Yield Right of Way,Inattentive,,,Yes,,
15520,2019-11-13T05:00:00,9,"-79.457622, 43.71337",Major Arterial,North York,8,Non Intersection,Daylight,Dry,Angle,40 to 44,None,,Driving Properly,Normal,,,Yes,,
15525,2019-11-20T05:00:00,9,"-79.295955, 43.748378",Major Arterial,Scarborough,21,Non Intersection,Daylight,Dry,Turning Movement,80 to 84,Minimal,,Failed to Yield Right of Way,Normal,,,Yes,,
15526,2019-11-20T05:00:00,9,"-79.295955, 43.748378",Major Arterial,Scarborough,21,Non Intersection,Daylight,Dry,Turning Movement,20 to 24,Major,,Driving Properly,Normal,,,Yes,,
15405,2019-04-06T04:00:00,10,"-79.331371, 43.793036",Major Arterial,North York,,Intersection Related,Daylight,Dry,Approaching,65 to 69,Minimal,,Driving Properly,Unknown,,Yes,Yes,,
15406,2019-04-06T04:00:00,10,"-79.331371, 43.793036",Major Arterial,North York,,Intersection Related,Daylight,Dry,Approaching,55 to 59,Minor,,Lost control,Unknown,,Yes,Yes,,
15407,2019-04-06T04:00:00,10,"-79.331371, 43.793036",Major Arterial,North York,,Intersection Related,Daylight,Dry,Approaching,40 to 44,Fatal,17,Driving Properly,Normal,,Yes,Yes,,
15036,2019-04-16T04:00:00,10,"-79.346844, 43.750079",Major Arterial,North York,16,Intersection Related,Daylight,Dry,Turning Movement,80 to 84,Major,,,,,,Yes,,
15403,2019-04-16T04:00:00,10,"-79.346844, 43.750079",Major Arterial,North York,16,Intersection Related,Daylight,Dry,Turning Movement,55 to 59,Minimal,,,,,,Yes,,
15424,2019-04-16T04:00:00,10,"-79.346844, 43.750079",Major Arterial,North York,16,Intersection Related,Daylight,Dry,Turning Movement,50 to 54,Minor,,Failed to Yield Right of Way,Normal,,,Yes,,
